#noautoenter  下线回城
#runplayer    允许穿人
#runmon       允许穿怪
#nodiedropitem 死亡不掉东西
#noprotectnewer 不保护新手
#masktype(0)  地图摭罩
#pkprohibit   禁止PK
#pkallow      允许PK(不加PK值)
#nochangeequiplist 禁止切换装备选项
#noseeothers   看不到其他玩家
#nodropitem 禁止扔东西
#addcofingroup  杀怪加疲软值
#em(number) 杀怪倍数
#execallow 地图打怪扣体力值
#expmul(number) 人物最大经验倍数
#nointeract     屏蔽玩家名字,禁止聊天,禁止查看角色信息
#nomount 禁止坐骑
#lockaction 禁止攻击和使用技能

#[地图编号 地图编号  名字  脚本触发  配置字段(支持上述的功能)

#地表地图
#[kuafu vkf 跨服战 map.kuafu runmon,runplayer
[rs285     mmfb     猛犸神殿[副本]  map.raid_sexp2 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs286     mmfb     猛犸神殿[副本]  map.raid_sexp2 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs287     mmfb     猛犸神殿[副本]  map.raid_sexp2 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs288     mmfb     猛犸神殿[副本]  map.raid_sexp2 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs289     mmfb     猛犸神殿[副本]  map.raid_sexp2 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs290     mmfb     猛犸神殿[副本]  map.raid_sexp2 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs291     mmfb     猛犸神殿[副本]  map.raid_sexp2 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs292     mmfb     猛犸神殿[副本]  map.raid_sexp2 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs293     mmfb     猛犸神殿[副本]  map.raid_sexp2 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs294     mmfb     猛犸神殿[副本]  map.raid_sexp2 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs295     mmfb     猛犸神殿[副本]  map.raid_sexp2 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs296     mmfb     猛犸神殿[副本]  map.raid_sexp2 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs297     mmfb     猛犸神殿[副本]  map.raid_sexp2 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs298     mmfb     猛犸神殿[副本]  map.raid_sexp2 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs299     mmfb     猛犸神殿[副本]  map.raid_sexp2 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs300     mmfb     猛犸神殿[副本]  map.raid_sexp2 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs301     mnfb     蛮牛大殿[副本]  map.raid_sexp3 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs302     mnfb     蛮牛大殿[副本]  map.raid_sexp3 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs303     mnfb     蛮牛大殿[副本]  map.raid_sexp3 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs304     mnfb     蛮牛大殿[副本]  map.raid_sexp3 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs305     mnfb     蛮牛大殿[副本]  map.raid_sexp3 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs306     mnfb     蛮牛大殿[副本]  map.raid_sexp3 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs307     mnfb     蛮牛大殿[副本]  map.raid_sexp3 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs308     mnfb     蛮牛大殿[副本]  map.raid_sexp3 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs309     mnfb     蛮牛大殿[副本]  map.raid_sexp3 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs310     mnfb     蛮牛大殿[副本]  map.raid_sexp3 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs311     mnfb     蛮牛大殿[副本]  map.raid_sexp3 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs312     mnfb     蛮牛大殿[副本]  map.raid_sexp3 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs313     mnfb     蛮牛大殿[副本]  map.raid_sexp3 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs314     mnfb     蛮牛大殿[副本]  map.raid_sexp3 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs315     mnfb     蛮牛大殿[副本]  map.raid_sexp3 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs316     mnfb     蛮牛大殿[副本]  map.raid_sexp3 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs317     mnfb     蛮牛大殿[副本]  map.raid_sexp3 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs318     mnfb     蛮牛大殿[副本]  map.raid_sexp3 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs319     mnfb     蛮牛大殿[副本]  map.raid_sexp3 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs320     mnfb     蛮牛大殿[副本]  map.raid_sexp3 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs321     mnfb     蛮牛大殿[副本]  map.raid_sexp3 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs322     mnfb     蛮牛大殿[副本]  map.raid_sexp3 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs323     mnfb     蛮牛大殿[副本]  map.raid_sexp3 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs324     mnfb     蛮牛大殿[副本]  map.raid_sexp3 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs325     mnfb     蛮牛大殿[副本]  map.raid_sexp3 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs326     mnfb     蛮牛大殿[副本]  map.raid_sexp3 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs327     mnfb     蛮牛大殿[副本]  map.raid_sexp3 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs328     mnfb     蛮牛大殿[副本]  map.raid_sexp3 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs329     mnfb     蛮牛大殿[副本]  map.raid_sexp3 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs330     mnfb     蛮牛大殿[副本]  map.raid_sexp3 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs331     mnfb     蛮牛大殿[副本]  map.raid_sexp3 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs332     mnfb     蛮牛大殿[副本]  map.raid_sexp3 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs333     mnfb     蛮牛大殿[副本]  map.raid_sexp3 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs334     mnfb     蛮牛大殿[副本]  map.raid_sexp3 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs335     mnfb     蛮牛大殿[副本]  map.raid_sexp3 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs336     mnfb     蛮牛大殿[副本]  map.raid_sexp3 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs337     mnfb     蛮牛大殿[副本]  map.raid_sexp3 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs338     mnfb     蛮牛大殿[副本]  map.raid_sexp3 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs339     mnfb     蛮牛大殿[副本]  map.raid_sexp3 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs340     mnfb     蛮牛大殿[副本]  map.raid_sexp3 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs341     mnfb     蛮牛大殿[副本]  map.raid_sexp3 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs342     mnfb     蛮牛大殿[副本]  map.raid_sexp3 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs343     mnfb     蛮牛大殿[副本]  map.raid_sexp3 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs344     mnfb     蛮牛大殿[副本]  map.raid_sexp3 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs345     mnfb     蛮牛大殿[副本]  map.raid_sexp3 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs346     mnfb     蛮牛大殿[副本]  map.raid_sexp3 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs347     mnfb     蛮牛大殿[副本]  map.raid_sexp3 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs348     mnfb     蛮牛大殿[副本]  map.raid_sexp3 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs349     mnfb     蛮牛大殿[副本]  map.raid_sexp3 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs350     mnfb     蛮牛大殿[副本]  map.raid_sexp3 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs351     mnfb     蛮牛大殿[副本]  map.raid_sexp3 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs352     mnfb     蛮牛大殿[副本]  map.raid_sexp3 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs353     mnfb     蛮牛大殿[副本]  map.raid_sexp3 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs354     mnfb     蛮牛大殿[副本]  map.raid_sexp3 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs355     mnfb     蛮牛大殿[副本]  map.raid_sexp3 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs356     mnfb     蛮牛大殿[副本]  map.raid_sexp3 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs357     mnfb     蛮牛大殿[副本]  map.raid_sexp3 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs358     mnfb     蛮牛大殿[副本]  map.raid_sexp3 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs359     mnfb     蛮牛大殿[副本]  map.raid_sexp3 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs360     mnfb     蛮牛大殿[副本]  map.raid_sexp3 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs361     mnfb     蛮牛大殿[副本]  map.raid_sexp3 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs362     mnfb     蛮牛大殿[副本]  map.raid_sexp3 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs363     mnfb     蛮牛大殿[副本]  map.raid_sexp3 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs364     mnfb     蛮牛大殿[副本]  map.raid_sexp3 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs365     mnfb     蛮牛大殿[副本]  map.raid_sexp3 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs366     mnfb     蛮牛大殿[副本]  map.raid_sexp3 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs367     mnfb     蛮牛大殿[副本]  map.raid_sexp3 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs368     mnfb     蛮牛大殿[副本]  map.raid_sexp3 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs369     mnfb     蛮牛大殿[副本]  map.raid_sexp3 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs370     mnfb     蛮牛大殿[副本]  map.raid_sexp3 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs371     mnfb     蛮牛大殿[副本]  map.raid_sexp3 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs372     mnfb     蛮牛大殿[副本]  map.raid_sexp3 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs373     mnfb     蛮牛大殿[副本]  map.raid_sexp3 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs374     mnfb     蛮牛大殿[副本]  map.raid_sexp3 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs375     mnfb     蛮牛大殿[副本]  map.raid_sexp3 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs376     mnfb     蛮牛大殿[副本]  map.raid_sexp3 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs377     mnfb     蛮牛大殿[副本]  map.raid_sexp3 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs378     mnfb     蛮牛大殿[副本]  map.raid_sexp3 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs379     mnfb     蛮牛大殿[副本]  map.raid_sexp3 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs380     mnfb     蛮牛大殿[副本]  map.raid_sexp3 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs381     mnfb     蛮牛大殿[副本]  map.raid_sexp3 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs382     mnfb     蛮牛大殿[副本]  map.raid_sexp3 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs383     mnfb     蛮牛大殿[副本]  map.raid_sexp3 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs384     mnfb     蛮牛大殿[副本]  map.raid_sexp3 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs385     mnfb     蛮牛大殿[副本]  map.raid_sexp3 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs386     mnfb     蛮牛大殿[副本]  map.raid_sexp3 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs387     mnfb     蛮牛大殿[副本]  map.raid_sexp3 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs388     mnfb     蛮牛大殿[副本]  map.raid_sexp3 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs389     mnfb     蛮牛大殿[副本]  map.raid_sexp3 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs390     mnfb     蛮牛大殿[副本]  map.raid_sexp3 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs391     mnfb     蛮牛大殿[副本]  map.raid_sexp3 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs392     mnfb     蛮牛大殿[副本]  map.raid_sexp3 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs393     mnfb     蛮牛大殿[副本]  map.raid_sexp3 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs394     mnfb     蛮牛大殿[副本]  map.raid_sexp3 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs395     mnfb     蛮牛大殿[副本]  map.raid_sexp3 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs396     mnfb     蛮牛大殿[副本]  map.raid_sexp3 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs397     mnfb     蛮牛大殿[副本]  map.raid_sexp3 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs398     mnfb     蛮牛大殿[副本]  map.raid_sexp3 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs399     mnfb     蛮牛大殿[副本]  map.raid_sexp3 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs400     mnfb     蛮牛大殿[副本]  map.raid_sexp3 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem

[rs401     yyfb     妖月巢穴[副本]  map.raid_sexp4 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs402     yyfb     妖月巢穴[副本]  map.raid_sexp4 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs403     yyfb     妖月巢穴[副本]  map.raid_sexp4 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs404     yyfb     妖月巢穴[副本]  map.raid_sexp4 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs405     yyfb     妖月巢穴[副本]  map.raid_sexp4 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs406     yyfb     妖月巢穴[副本]  map.raid_sexp4 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs407     yyfb     妖月巢穴[副本]  map.raid_sexp4 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs408     yyfb     妖月巢穴[副本]  map.raid_sexp4 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs409     yyfb     妖月巢穴[副本]  map.raid_sexp4 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs410     yyfb     妖月巢穴[副本]  map.raid_sexp4 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs411     yyfb     妖月巢穴[副本]  map.raid_sexp4 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs412     yyfb     妖月巢穴[副本]  map.raid_sexp4 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs413     yyfb     妖月巢穴[副本]  map.raid_sexp4 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs414     yyfb     妖月巢穴[副本]  map.raid_sexp4 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs415     yyfb     妖月巢穴[副本]  map.raid_sexp4 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs416     yyfb     妖月巢穴[副本]  map.raid_sexp4 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs417     yyfb     妖月巢穴[副本]  map.raid_sexp4 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs418     yyfb     妖月巢穴[副本]  map.raid_sexp4 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs419     yyfb     妖月巢穴[副本]  map.raid_sexp4 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs420     yyfb     妖月巢穴[副本]  map.raid_sexp4 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs421     yyfb     妖月巢穴[副本]  map.raid_sexp4 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs422     yyfb     妖月巢穴[副本]  map.raid_sexp4 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs423     yyfb     妖月巢穴[副本]  map.raid_sexp4 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs424     yyfb     妖月巢穴[副本]  map.raid_sexp4 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs425    yyfb     妖月巢穴[副本]  map.raid_sexp4 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs426     yyfb     妖月巢穴[副本]  map.raid_sexp4 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs427     yyfb     妖月巢穴[副本]  map.raid_sexp4 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs428     yyfb     妖月巢穴[副本]  map.raid_sexp4 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs429     yyfb     妖月巢穴[副本]  map.raid_sexp4 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs430     yyfb     妖月巢穴[副本]  map.raid_sexp4 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs431     yyfb     妖月巢穴[副本]  map.raid_sexp4 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs432     yyfb     妖月巢穴[副本]  map.raid_sexp4 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs433     yyfb     妖月巢穴[副本]  map.raid_sexp4 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs434     yyfb     妖月巢穴[副本]  map.raid_sexp4 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs435     yyfb     妖月巢穴[副本]  map.raid_sexp4 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs436     yyfb     妖月巢穴[副本]  map.raid_sexp4 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs437     yyfb     妖月巢穴[副本]  map.raid_sexp4 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs438     yyfb     妖月巢穴[副本]  map.raid_sexp4 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs439     yyfb     妖月巢穴[副本]  map.raid_sexp4 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs440     yyfb     妖月巢穴[副本]  map.raid_sexp4 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs441     yyfb     妖月巢穴[副本]  map.raid_sexp4 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs442     yyfb     妖月巢穴[副本]  map.raid_sexp4 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs443     yyfb     妖月巢穴[副本]  map.raid_sexp4 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs444     yyfb     妖月巢穴[副本]  map.raid_sexp4 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs445     yyfb     妖月巢穴[副本]  map.raid_sexp4 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs446     yyfb     妖月巢穴[副本]  map.raid_sexp4 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs447     yyfb     妖月巢穴[副本]  map.raid_sexp4 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs448     yyfb     妖月巢穴[副本]  map.raid_sexp4 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs449     yyfb     妖月巢穴[副本]  map.raid_sexp4 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs450    yyfb     妖月巢穴[副本]  map.raid_sexp4 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs451     yyfb     妖月巢穴[副本]  map.raid_sexp4 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs452     yyfb     妖月巢穴[副本]  map.raid_sexp4 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs453     yyfb     妖月巢穴[副本]  map.raid_sexp4 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs454     yyfb     妖月巢穴[副本]  map.raid_sexp4 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs455     yyfb     妖月巢穴[副本]  map.raid_sexp4 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs456     yyfb     妖月巢穴[副本]  map.raid_sexp4 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs457     yyfb     妖月巢穴[副本]  map.raid_sexp4 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs458     yyfb     妖月巢穴[副本]  map.raid_sexp4 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs459     yyfb     妖月巢穴[副本]  map.raid_sexp4 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs460     yyfb     妖月巢穴[副本]  map.raid_sexp4 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs461     yyfb     妖月巢穴[副本]  map.raid_sexp4 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs462     yyfb     妖月巢穴[副本]  map.raid_sexp4 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs463     yyfb     妖月巢穴[副本]  map.raid_sexp4 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs464     yyfb     妖月巢穴[副本]  map.raid_sexp4 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs465     yyfb     妖月巢穴[副本]  map.raid_sexp4 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs466     yyfb     妖月巢穴[副本]  map.raid_sexp4 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs467     yyfb     妖月巢穴[副本]  map.raid_sexp4 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs468     yyfb     妖月巢穴[副本]  map.raid_sexp4 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs469     yyfb     妖月巢穴[副本]  map.raid_sexp4 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs470     yyfb     妖月巢穴[副本]  map.raid_sexp4 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs471     yyfb     妖月巢穴[副本]  map.raid_sexp4 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs472     yyfb     妖月巢穴[副本]  map.raid_sexp4 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs473     yyfb     妖月巢穴[副本]  map.raid_sexp4 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs474     yyfb     妖月巢穴[副本]  map.raid_sexp4 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs475    yyfb     妖月巢穴[副本]  map.raid_sexp4 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs476     yyfb     妖月巢穴[副本]  map.raid_sexp4 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs477     yyfb     妖月巢穴[副本]  map.raid_sexp4 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs478     yyfb     妖月巢穴[副本]  map.raid_sexp4 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs479     yyfb     妖月巢穴[副本]  map.raid_sexp4 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs480     yyfb     妖月巢穴[副本]  map.raid_sexp4 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs481     yyfb     妖月巢穴[副本]  map.raid_sexp4 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs482     yyfb     妖月巢穴[副本]  map.raid_sexp4 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs483     yyfb     妖月巢穴[副本]  map.raid_sexp4 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs484     yyfb     妖月巢穴[副本]  map.raid_sexp4 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs485     yyfb     妖月巢穴[副本]  map.raid_sexp4 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs486     yyfb     妖月巢穴[副本]  map.raid_sexp4 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs487     yyfb     妖月巢穴[副本]  map.raid_sexp4 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs488     yyfb     妖月巢穴[副本]  map.raid_sexp4 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs489     yyfb     妖月巢穴[副本]  map.raid_sexp4 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs490     yyfb     妖月巢穴[副本]  map.raid_sexp4 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs491     yyfb     妖月巢穴[副本]  map.raid_sexp4 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs492     yyfb     妖月巢穴[副本]  map.raid_sexp4 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs493     yyfb     妖月巢穴[副本]  map.raid_sexp4 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs494     yyfb     妖月巢穴[副本]  map.raid_sexp4 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs495     yyfb     妖月巢穴[副本]  map.raid_sexp4 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs496     yyfb     妖月巢穴[副本]  map.raid_sexp4 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs497     yyfb     妖月巢穴[副本]  map.raid_sexp4 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
[rs498     yyfb     妖月巢穴[副本]  map.raid_sexp4 runplayer,runmon,trigerenterleave,noautoenter,nodiedropitem
